names;vika_1;vika_2;vika_3;vika_4;vika_5
Gullkarfi; 1.330 ; 6.326 ; 38.353 ; 5.980 ; 4.668 
Þorskur; 44.942 ; 39.093 ; 11.900 ; 35.074 ; 13.896 
Ysa; 2.568 ; 2.807 ; 9.636 ; 9.823 ; 7.656 
Ufsi; 7.669 ; 22.914 ; 8.538 ; 4.517 ; 230 
Langa; 87 ; 187 ; 4.295 ; 160 ; 31 
Lysa; - ; - ; 748 ; - ; - 
Langlura; - ; - ; 686 ; - ; - 
Solkoli; - ; 39 ; 272 ; 100 ; 371 
Skarkoli; 4 ; - ; 161 ; 1.167 ; 2.854 
Steinbitur; 181 ; 304 ; 56 ; 1.217 ; 210 
Skotuselur; 11 ; 19 ; 43 ; - ; 29 
Luda; - ; 3 ; 40 ; 101 ; 212 
Skata; - ; - ; 39 ; - ; - 
Blalanga; - ; 44 ; 23 ; - ; - 
Graluda; 32 ; 26 ; - ; - ; - 
Grasleppa; - ; 1 ; - ; - ; - 
Hlyri; 195 ; 319 ; - ; 76 ; - 
Keila; 16 ; 70 ; - ; - ; - 
Naskata; 15 ; 8 ; - ; - ; - 
